Sentences,Cases
the man who had lived with the woman gave a brief speech .,SubjectRC
the professor that had seen her gave a brief speech .,SubjectRC
the professor that had seen mary gave a brief speech .,SubjectRC
the professor that had seen the woman gave a brief speech .,SubjectRC
the professor that had spoken with her gave a brief speech .,SubjectRC
the professor that had spoken with mary gave a brief speech .,SubjectRC
the professor that had spoken with the woman gave a brief speech .,SubjectRC
the professor that had interviewed her gave a brief speech .,SubjectRC
the professor that had interviewed mary gave a brief speech .,SubjectRC
the professor that had interviewed the woman gave a brief speech .,SubjectRC
the professor that had mentioned her gave a brief speech .,SubjectRC
the professor that had mentioned mary gave a brief speech .,SubjectRC
the professor that had mentioned the woman gave a brief speech .,SubjectRC
the professor that had approached her gave a brief speech .,SubjectRC
the professor that had approached mary gave a brief speech .,SubjectRC
the professor that had approached the woman gave a brief speech .,SubjectRC
the professor that had met her gave a brief speech .,SubjectRC
the professor that had met mary gave a brief speech .,SubjectRC
the professor that had met the woman gave a brief speech .,SubjectRC
the professor that had lived with her gave a brief speech .,SubjectRC
the professor that had lived with mary gave a brief speech .,SubjectRC
the professor that had lived with the woman gave a brief speech .,SubjectRC
the professor who had seen her gave a brief speech .,SubjectRC
the professor who had seen mary gave a brief speech .,SubjectRC
the professor who had seen the woman gave a brief speech .,SubjectRC
the professor who had spoken with her gave a brief speech .,SubjectRC
the professor who had spoken with mary gave a brief speech .,SubjectRC
the professor who had spoken with the woman gave a brief speech .,SubjectRC
the professor who had interviewed her gave a brief speech .,SubjectRC
the professor who had interviewed mary gave a brief speech .,SubjectRC
the professor who had interviewed the woman gave a brief speech .,SubjectRC
the professor who had mentioned her gave a brief speech .,SubjectRC
the professor who had mentioned mary gave a brief speech .,SubjectRC
the professor who had mentioned the woman gave a brief speech .,SubjectRC
the professor who had approached her gave a brief speech .,SubjectRC
the professor who had approached mary gave a brief speech .,SubjectRC
the professor who had approached the woman gave a brief speech .,SubjectRC
the professor who had met her gave a brief speech .,SubjectRC
the professor who had met mary gave a brief speech .,SubjectRC
the professor who had met the woman gave a brief speech .,SubjectRC
the professor who had lived with her gave a brief speech .,SubjectRC
the professor who had lived with mary gave a brief speech .,SubjectRC
the professor who had lived with the woman gave a brief speech .,SubjectRC
the driver that had seen her gave a brief speech .,SubjectRC
the driver that had seen mary gave a brief speech .,SubjectRC
the driver that had seen the woman gave a brief speech .,SubjectRC
the driver that had spoken with her gave a brief speech .,SubjectRC
the driver that had spoken with mary gave a brief speech .,SubjectRC
the driver that had spoken with the woman gave a brief speech .,SubjectRC
the driver that had interviewed her gave a brief speech .,SubjectRC
the driver that had interviewed mary gave a brief speech .,SubjectRC
the driver that had interviewed the woman gave a brief speech .,SubjectRC
the driver that had mentioned her gave a brief speech .,SubjectRC
the driver that had mentioned mary gave a brief speech .,SubjectRC
the driver that had mentioned the woman gave a brief speech .,SubjectRC
the driver that had approached her gave a brief speech .,SubjectRC
the driver that had approached mary gave a brief speech .,SubjectRC
the driver that had approached the woman gave a brief speech .,SubjectRC
the driver that had met her gave a brief speech .,SubjectRC
the driver that had met mary gave a brief speech .,SubjectRC
the driver that had met the woman gave a brief speech .,SubjectRC
the driver that had lived with her gave a brief speech .,SubjectRC
the driver that had lived with mary gave a brief speech .,SubjectRC
the driver that had lived with the woman gave a brief speech .,SubjectRC
the driver who had seen her gave a brief speech .,SubjectRC
the driver who had seen mary gave a brief speech .,SubjectRC
the driver who had seen the woman gave a brief speech .,SubjectRC
the driver who had spoken with her gave a brief speech .,SubjectRC
the driver who had spoken with mary gave a brief speech .,SubjectRC
the driver who had spoken with the woman gave a brief speech .,SubjectRC
the driver who had interviewed her gave a brief speech .,SubjectRC
the driver who had interviewed mary gave a brief speech .,SubjectRC
the driver who had interviewed the woman gave a brief speech .,SubjectRC
the driver who had mentioned her gave a brief speech .,SubjectRC
the driver who had mentioned mary gave a brief speech .,SubjectRC
the driver who had mentioned the woman gave a brief speech .,SubjectRC
the driver who had approached her gave a brief speech .,SubjectRC
the driver who had approached mary gave a brief speech .,SubjectRC
the driver who had approached the woman gave a brief speech .,SubjectRC
the driver who had met her gave a brief speech .,SubjectRC
the driver who had met mary gave a brief speech .,SubjectRC
the driver who had met the woman gave a brief speech .,SubjectRC
the driver who had lived with her gave a brief speech .,SubjectRC
the driver who had lived with mary gave a brief speech .,SubjectRC
the driver who had lived with the woman gave a brief speech .,SubjectRC
a student that had seen her gave a brief speech .,SubjectRC
a student that had seen mary gave a brief speech .,SubjectRC
a student that had seen the woman gave a brief speech .,SubjectRC
a student that had spoken with her gave a brief speech .,SubjectRC
a student that had spoken with mary gave a brief speech .,SubjectRC
a student that had spoken with the woman gave a brief speech .,SubjectRC
a student that had interviewed her gave a brief speech .,SubjectRC
a student that had interviewed mary gave a brief speech .,SubjectRC
a student that had interviewed the woman gave a brief speech .,SubjectRC
a student that had mentioned her gave a brief speech .,SubjectRC
a student that had mentioned mary gave a brief speech .,SubjectRC
a student that had mentioned the woman gave a brief speech .,SubjectRC
a student that had approached her gave a brief speech .,SubjectRC
a student that had approached mary gave a brief speech .,SubjectRC
a student that had approached the woman gave a brief speech .,SubjectRC
a student that had met her gave a brief speech .,SubjectRC
a student that had met mary gave a brief speech .,SubjectRC
a student that had met the woman gave a brief speech .,SubjectRC
a student that had lived with her gave a brief speech .,SubjectRC
a student that had lived with mary gave a brief speech .,SubjectRC
a student that had lived with the woman gave a brief speech .,SubjectRC
a student who had seen her gave a brief speech .,SubjectRC
a student who had seen mary gave a brief speech .,SubjectRC
a student who had seen the woman gave a brief speech .,SubjectRC
a student who had spoken with her gave a brief speech .,SubjectRC
a student who had spoken with mary gave a brief speech .,SubjectRC
a student who had spoken with the woman gave a brief speech .,SubjectRC
a student who had interviewed her gave a brief speech .,SubjectRC
a student who had interviewed mary gave a brief speech .,SubjectRC
a student who had interviewed the woman gave a brief speech .,SubjectRC
a student who had mentioned her gave a brief speech .,SubjectRC
a student who had mentioned mary gave a brief speech .,SubjectRC
a student who had mentioned the woman gave a brief speech .,SubjectRC
a student who had approached her gave a brief speech .,SubjectRC
a student who had approached mary gave a brief speech .,SubjectRC
a student who had approached the woman gave a brief speech .,SubjectRC
a student who had met her gave a brief speech .,SubjectRC
a student who had met mary gave a brief speech .,SubjectRC
a student who had met the woman gave a brief speech .,SubjectRC
a student who had lived with her gave a brief speech .,SubjectRC
a student who had lived with mary gave a brief speech .,SubjectRC
a student who had lived with the woman gave a brief speech .,SubjectRC
a man that had seen her gave a brief speech .,SubjectRC
a man that had seen mary gave a brief speech .,SubjectRC
a man that had seen the woman gave a brief speech .,SubjectRC
a man that had spoken with her gave a brief speech .,SubjectRC
a man that had spoken with mary gave a brief speech .,SubjectRC
a man that had spoken with the woman gave a brief speech .,SubjectRC
a man that had interviewed her gave a brief speech .,SubjectRC
a man that had interviewed mary gave a brief speech .,SubjectRC
a man that had interviewed the woman gave a brief speech .,SubjectRC
a man that had mentioned her gave a brief speech .,SubjectRC
a man that had mentioned mary gave a brief speech .,SubjectRC
a man that had mentioned the woman gave a brief speech .,SubjectRC
a man that had approached her gave a brief speech .,SubjectRC
a man that had approached mary gave a brief speech .,SubjectRC
a man that had approached the woman gave a brief speech .,SubjectRC
a man that had met her gave a brief speech .,SubjectRC
a man that had met mary gave a brief speech .,SubjectRC
a man that had met the woman gave a brief speech .,SubjectRC
a man that had lived with her gave a brief speech .,SubjectRC
a man that had lived with mary gave a brief speech .,SubjectRC
a man that had lived with the woman gave a brief speech .,SubjectRC
a man who had seen her gave a brief speech .,SubjectRC
a man who had seen mary gave a brief speech .,SubjectRC
a man who had seen the woman gave a brief speech .,SubjectRC
a man who had spoken with her gave a brief speech .,SubjectRC
a man who had spoken with mary gave a brief speech .,SubjectRC
a man who had spoken with the woman gave a brief speech .,SubjectRC
a man who had interviewed her gave a brief speech .,SubjectRC
a man who had interviewed mary gave a brief speech .,SubjectRC
a man who had interviewed the woman gave a brief speech .,SubjectRC
a man who had mentioned her gave a brief speech .,SubjectRC
a man who had mentioned mary gave a brief speech .,SubjectRC
a man who had mentioned the woman gave a brief speech .,SubjectRC
a man who had approached her gave a brief speech .,SubjectRC
a man who had approached mary gave a brief speech .,SubjectRC
a man who had approached the woman gave a brief speech .,SubjectRC
a man who had met her gave a brief speech .,SubjectRC
a man who had met mary gave a brief speech .,SubjectRC
a man who had met the woman gave a brief speech .,SubjectRC
a man who had lived with her gave a brief speech .,SubjectRC
a man who had lived with mary gave a brief speech .,SubjectRC
a man who had lived with the woman gave a brief speech .,SubjectRC
a professor that had seen her gave a brief speech .,SubjectRC
a professor that had seen mary gave a brief speech .,SubjectRC
a professor that had seen the woman gave a brief speech .,SubjectRC
a professor that had spoken with her gave a brief speech .,SubjectRC
a professor that had spoken with mary gave a brief speech .,SubjectRC
a professor that had spoken with the woman gave a brief speech .,SubjectRC
a professor that had interviewed her gave a brief speech .,SubjectRC
a professor that had interviewed mary gave a brief speech .,SubjectRC
a professor that had interviewed the woman gave a brief speech .,SubjectRC
a professor that had mentioned her gave a brief speech .,SubjectRC
a professor that had mentioned mary gave a brief speech .,SubjectRC
a professor that had mentioned the woman gave a brief speech .,SubjectRC
a professor that had approached her gave a brief speech .,SubjectRC
a professor that had approached mary gave a brief speech .,SubjectRC
a professor that had approached the woman gave a brief speech .,SubjectRC
a professor that had met her gave a brief speech .,SubjectRC
a professor that had met mary gave a brief speech .,SubjectRC
a professor that had met the woman gave a brief speech .,SubjectRC
a professor that had lived with her gave a brief speech .,SubjectRC
a professor that had lived with mary gave a brief speech .,SubjectRC
a professor that had lived with the woman gave a brief speech .,SubjectRC
a professor who had seen her gave a brief speech .,SubjectRC
a professor who had seen mary gave a brief speech .,SubjectRC
a professor who had seen the woman gave a brief speech .,SubjectRC
a professor who had spoken with her gave a brief speech .,SubjectRC
a professor who had spoken with mary gave a brief speech .,SubjectRC
a professor who had spoken with the woman gave a brief speech .,SubjectRC
a professor who had interviewed her gave a brief speech .,SubjectRC
a professor who had interviewed mary gave a brief speech .,SubjectRC
a professor who had interviewed the woman gave a brief speech .,SubjectRC
a professor who had mentioned her gave a brief speech .,SubjectRC
a professor who had mentioned mary gave a brief speech .,SubjectRC
a professor who had mentioned the woman gave a brief speech .,SubjectRC
a professor who had approached her gave a brief speech .,SubjectRC
a professor who had approached mary gave a brief speech .,SubjectRC
a professor who had approached the woman gave a brief speech .,SubjectRC
a professor who had met her gave a brief speech .,SubjectRC
a professor who had met mary gave a brief speech .,SubjectRC
a professor who had met the woman gave a brief speech .,SubjectRC
a professor who had lived with her gave a brief speech .,SubjectRC
a professor who had lived with mary gave a brief speech .,SubjectRC
a professor who had lived with the woman gave a brief speech .,SubjectRC
a driver that had seen her gave a brief speech .,SubjectRC
a driver that had seen mary gave a brief speech .,SubjectRC
a driver that had seen the woman gave a brief speech .,SubjectRC
a driver that had spoken with her gave a brief speech .,SubjectRC
a driver that had spoken with mary gave a brief speech .,SubjectRC
a driver that had spoken with the woman gave a brief speech .,SubjectRC
a driver that had interviewed her gave a brief speech .,SubjectRC
a driver that had interviewed mary gave a brief speech .,SubjectRC
a driver that had interviewed the woman gave a brief speech .,SubjectRC
a driver that had mentioned her gave a brief speech .,SubjectRC
a driver that had mentioned mary gave a brief speech .,SubjectRC
a driver that had mentioned the woman gave a brief speech .,SubjectRC
a driver that had approached her gave a brief speech .,SubjectRC
a driver that had approached mary gave a brief speech .,SubjectRC
a driver that had approached the woman gave a brief speech .,SubjectRC
a driver that had met her gave a brief speech .,SubjectRC
a driver that had met mary gave a brief speech .,SubjectRC
a driver that had met the woman gave a brief speech .,SubjectRC
a driver that had lived with her gave a brief speech .,SubjectRC
a driver that had lived with mary gave a brief speech .,SubjectRC
a driver that had lived with the woman gave a brief speech .,SubjectRC
a driver who had seen her gave a brief speech .,SubjectRC
a driver who had seen mary gave a brief speech .,SubjectRC
a driver who had seen the woman gave a brief speech .,SubjectRC
a driver who had spoken with her gave a brief speech .,SubjectRC
a driver who had spoken with mary gave a brief speech .,SubjectRC
a driver who had spoken with the woman gave a brief speech .,SubjectRC
a driver who had interviewed her gave a brief speech .,SubjectRC
a driver who had interviewed mary gave a brief speech .,SubjectRC
a driver who had interviewed the woman gave a brief speech .,SubjectRC
a driver who had mentioned her gave a brief speech .,SubjectRC
a driver who had mentioned mary gave a brief speech .,SubjectRC
a driver who had mentioned the woman gave a brief speech .,SubjectRC
a driver who had approached her gave a brief speech .,SubjectRC
a driver who had approached mary gave a brief speech .,SubjectRC
a driver who had approached the woman gave a brief speech .,SubjectRC
a driver who had met her gave a brief speech .,SubjectRC
a driver who had met mary gave a brief speech .,SubjectRC
a driver who had met the woman gave a brief speech .,SubjectRC
a driver who had lived with her gave a brief speech .,SubjectRC
a driver who had lived with mary gave a brief speech .,SubjectRC
a driver who had lived with the woman gave a brief speech .,SubjectRC
every student that had seen her gave a brief speech .,SubjectRC
every student that had seen mary gave a brief speech .,SubjectRC
every student that had seen the woman gave a brief speech .,SubjectRC
every student that had spoken with her gave a brief speech .,SubjectRC
every student that had spoken with mary gave a brief speech .,SubjectRC
every student that had spoken with the woman gave a brief speech .,SubjectRC
every student that had interviewed her gave a brief speech .,SubjectRC
every student that had interviewed mary gave a brief speech .,SubjectRC
every student that had interviewed the woman gave a brief speech .,SubjectRC
every student that had mentioned her gave a brief speech .,SubjectRC
every student that had mentioned mary gave a brief speech .,SubjectRC
every student that had mentioned the woman gave a brief speech .,SubjectRC
every student that had approached her gave a brief speech .,SubjectRC
every student that had approached mary gave a brief speech .,SubjectRC
every student that had approached the woman gave a brief speech .,SubjectRC
every student that had met her gave a brief speech .,SubjectRC
every student that had met mary gave a brief speech .,SubjectRC
every student that had met the woman gave a brief speech .,SubjectRC
every student that had lived with her gave a brief speech .,SubjectRC
every student that had lived with mary gave a brief speech .,SubjectRC
every student that had lived with the woman gave a brief speech .,SubjectRC
every student who had seen her gave a brief speech .,SubjectRC
every student who had seen mary gave a brief speech .,SubjectRC
every student who had seen the woman gave a brief speech .,SubjectRC
every student who had spoken with her gave a brief speech .,SubjectRC
every student who had spoken with mary gave a brief speech .,SubjectRC
every student who had spoken with the woman gave a brief speech .,SubjectRC
every student who had interviewed her gave a brief speech .,SubjectRC
every student who had interviewed mary gave a brief speech .,SubjectRC
every student who had interviewed the woman gave a brief speech .,SubjectRC
every student who had mentioned her gave a brief speech .,SubjectRC
every student who had mentioned mary gave a brief speech .,SubjectRC
every student who had mentioned the woman gave a brief speech .,SubjectRC
every student who had approached her gave a brief speech .,SubjectRC
every student who had approached mary gave a brief speech .,SubjectRC
every student who had approached the woman gave a brief speech .,SubjectRC
every student who had met her gave a brief speech .,SubjectRC
every student who had met mary gave a brief speech .,SubjectRC
every student who had met the woman gave a brief speech .,SubjectRC
every student who had lived with her gave a brief speech .,SubjectRC
every student who had lived with mary gave a brief speech .,SubjectRC
every student who had lived with the woman gave a brief speech .,SubjectRC
every man that had seen her gave a brief speech .,SubjectRC
every man that had seen mary gave a brief speech .,SubjectRC
every man that had seen the woman gave a brief speech .,SubjectRC
every man that had spoken with her gave a brief speech .,SubjectRC
every man that had spoken with mary gave a brief speech .,SubjectRC
every man that had spoken with the woman gave a brief speech .,SubjectRC
every man that had interviewed her gave a brief speech .,SubjectRC
every man that had interviewed mary gave a brief speech .,SubjectRC
every man that had interviewed the woman gave a brief speech .,SubjectRC
every man that had mentioned her gave a brief speech .,SubjectRC
every man that had mentioned mary gave a brief speech .,SubjectRC
every man that had mentioned the woman gave a brief speech .,SubjectRC
every man that had approached her gave a brief speech .,SubjectRC
every man that had approached mary gave a brief speech .,SubjectRC
every man that had approached the woman gave a brief speech .,SubjectRC
every man that had met her gave a brief speech .,SubjectRC
every man that had met mary gave a brief speech .,SubjectRC
every man that had met the woman gave a brief speech .,SubjectRC
every man that had lived with her gave a brief speech .,SubjectRC
every man that had lived with mary gave a brief speech .,SubjectRC
every man that had lived with the woman gave a brief speech .,SubjectRC
every man who had seen her gave a brief speech .,SubjectRC
every man who had seen mary gave a brief speech .,SubjectRC
every man who had seen the woman gave a brief speech .,SubjectRC
every man who had spoken with her gave a brief speech .,SubjectRC
every man who had spoken with mary gave a brief speech .,SubjectRC
every man who had spoken with the woman gave a brief speech .,SubjectRC
every man who had interviewed her gave a brief speech .,SubjectRC
every man who had interviewed mary gave a brief speech .,SubjectRC
every man who had interviewed the woman gave a brief speech .,SubjectRC
every man who had mentioned her gave a brief speech .,SubjectRC
every man who had mentioned mary gave a brief speech .,SubjectRC
every man who had mentioned the woman gave a brief speech .,SubjectRC
every man who had approached her gave a brief speech .,SubjectRC
every man who had approached mary gave a brief speech .,SubjectRC
every man who had approached the woman gave a brief speech .,SubjectRC
every man who had met her gave a brief speech .,SubjectRC
every man who had met mary gave a brief speech .,SubjectRC
every man who had met the woman gave a brief speech .,SubjectRC
every man who had lived with her gave a brief speech .,SubjectRC
every man who had lived with mary gave a brief speech .,SubjectRC
every man who had lived with the woman gave a brief speech .,SubjectRC
every professor that had seen her gave a brief speech .,SubjectRC
every professor that had seen mary gave a brief speech .,SubjectRC
every professor that had seen the woman gave a brief speech .,SubjectRC
every professor that had spoken with her gave a brief speech .,SubjectRC
every professor that had spoken with mary gave a brief speech .,SubjectRC
every professor that had spoken with the woman gave a brief speech .,SubjectRC
every professor that had interviewed her gave a brief speech .,SubjectRC
every professor that had interviewed mary gave a brief speech .,SubjectRC
every professor that had interviewed the woman gave a brief speech .,SubjectRC
every professor that had mentioned her gave a brief speech .,SubjectRC
every professor that had mentioned mary gave a brief speech .,SubjectRC
every professor that had mentioned the woman gave a brief speech .,SubjectRC
every professor that had approached her gave a brief speech .,SubjectRC
every professor that had approached mary gave a brief speech .,SubjectRC
every professor that had approached the woman gave a brief speech .,SubjectRC
every professor that had met her gave a brief speech .,SubjectRC
every professor that had met mary gave a brief speech .,SubjectRC
every professor that had met the woman gave a brief speech .,SubjectRC
every professor that had lived with her gave a brief speech .,SubjectRC
every professor that had lived with mary gave a brief speech .,SubjectRC
every professor that had lived with the woman gave a brief speech .,SubjectRC
every professor who had seen her gave a brief speech .,SubjectRC
every professor who had seen mary gave a brief speech .,SubjectRC
every professor who had seen the woman gave a brief speech .,SubjectRC
every professor who had spoken with her gave a brief speech .,SubjectRC
every professor who had spoken with mary gave a brief speech .,SubjectRC
every professor who had spoken with the woman gave a brief speech .,SubjectRC
every professor who had interviewed her gave a brief speech .,SubjectRC
every professor who had interviewed mary gave a brief speech .,SubjectRC
every professor who had interviewed the woman gave a brief speech .,SubjectRC
every professor who had mentioned her gave a brief speech .,SubjectRC
every professor who had mentioned mary gave a brief speech .,SubjectRC
every professor who had mentioned the woman gave a brief speech .,SubjectRC
every professor who had approached her gave a brief speech .,SubjectRC
every professor who had approached mary gave a brief speech .,SubjectRC
every professor who had approached the woman gave a brief speech .,SubjectRC
every professor who had met her gave a brief speech .,SubjectRC
every professor who had met mary gave a brief speech .,SubjectRC
every professor who had met the woman gave a brief speech .,SubjectRC
every professor who had lived with her gave a brief speech .,SubjectRC
every professor who had lived with mary gave a brief speech .,SubjectRC
every professor who had lived with the woman gave a brief speech .,SubjectRC
every driver that had seen her gave a brief speech .,SubjectRC
every driver that had seen mary gave a brief speech .,SubjectRC
every driver that had seen the woman gave a brief speech .,SubjectRC
every driver that had spoken with her gave a brief speech .,SubjectRC
every driver that had spoken with mary gave a brief speech .,SubjectRC
every driver that had spoken with the woman gave a brief speech .,SubjectRC
every driver that had interviewed her gave a brief speech .,SubjectRC
every driver that had interviewed mary gave a brief speech .,SubjectRC
every driver that had interviewed the woman gave a brief speech .,SubjectRC
every driver that had mentioned her gave a brief speech .,SubjectRC
every driver that had mentioned mary gave a brief speech .,SubjectRC
every driver that had mentioned the woman gave a brief speech .,SubjectRC
every driver that had approached her gave a brief speech .,SubjectRC
every driver that had approached mary gave a brief speech .,SubjectRC
every driver that had approached the woman gave a brief speech .,SubjectRC
every driver that had met her gave a brief speech .,SubjectRC
every driver that had met mary gave a brief speech .,SubjectRC
every driver that had met the woman gave a brief speech .,SubjectRC
every driver that had lived with her gave a brief speech .,SubjectRC
every driver that had lived with mary gave a brief speech .,SubjectRC
every driver that had lived with the woman gave a brief speech .,SubjectRC
every driver who had seen her gave a brief speech .,SubjectRC
every driver who had seen mary gave a brief speech .,SubjectRC
every driver who had seen the woman gave a brief speech .,SubjectRC
every driver who had spoken with her gave a brief speech .,SubjectRC
every driver who had spoken with mary gave a brief speech .,SubjectRC
every driver who had spoken with the woman gave a brief speech .,SubjectRC
every driver who had interviewed her gave a brief speech .,SubjectRC
every driver who had interviewed mary gave a brief speech .,SubjectRC
every driver who had interviewed the woman gave a brief speech .,SubjectRC
every driver who had mentioned her gave a brief speech .,SubjectRC
every driver who had mentioned mary gave a brief speech .,SubjectRC
every driver who had mentioned the woman gave a brief speech .,SubjectRC
every driver who had approached her gave a brief speech .,SubjectRC
every driver who had approached mary gave a brief speech .,SubjectRC
every driver who had approached the woman gave a brief speech .,SubjectRC
every driver who had met her gave a brief speech .,SubjectRC
every driver who had met mary gave a brief speech .,SubjectRC
every driver who had met the woman gave a brief speech .,SubjectRC
every driver who had lived with her gave a brief speech .,SubjectRC
every driver who had lived with mary gave a brief speech .,SubjectRC
every driver who had lived with the woman gave a brief speech .,SubjectRC
some student that had seen her gave a brief speech .,SubjectRC
some student that had seen mary gave a brief speech .,SubjectRC
some student that had seen the woman gave a brief speech .,SubjectRC
some student that had spoken with her gave a brief speech .,SubjectRC
some student that had spoken with mary gave a brief speech .,SubjectRC
some student that had spoken with the woman gave a brief speech .,SubjectRC
some student that had interviewed her gave a brief speech .,SubjectRC
some student that had interviewed mary gave a brief speech .,SubjectRC
some student that had interviewed the woman gave a brief speech .,SubjectRC
some student that had mentioned her gave a brief speech .,SubjectRC
some student that had mentioned mary gave a brief speech .,SubjectRC
some student that had mentioned the woman gave a brief speech .,SubjectRC
some student that had approached her gave a brief speech .,SubjectRC
some student that had approached mary gave a brief speech .,SubjectRC
some student that had approached the woman gave a brief speech .,SubjectRC
some student that had met her gave a brief speech .,SubjectRC
some student that had met mary gave a brief speech .,SubjectRC
some student that had met the woman gave a brief speech .,SubjectRC
some student that had lived with her gave a brief speech .,SubjectRC
some student that had lived with mary gave a brief speech .,SubjectRC
some student that had lived with the woman gave a brief speech .,SubjectRC
some student who had seen her gave a brief speech .,SubjectRC
some student who had seen mary gave a brief speech .,SubjectRC
some student who had seen the woman gave a brief speech .,SubjectRC
some student who had spoken with her gave a brief speech .,SubjectRC
some student who had spoken with mary gave a brief speech .,SubjectRC
some student who had spoken with the woman gave a brief speech .,SubjectRC
some student who had interviewed her gave a brief speech .,SubjectRC
some student who had interviewed mary gave a brief speech .,SubjectRC
some student who had interviewed the woman gave a brief speech .,SubjectRC
some student who had mentioned her gave a brief speech .,SubjectRC
some student who had mentioned mary gave a brief speech .,SubjectRC
some student who had mentioned the woman gave a brief speech .,SubjectRC
some student who had approached her gave a brief speech .,SubjectRC
some student who had approached mary gave a brief speech .,SubjectRC
some student who had approached the woman gave a brief speech .,SubjectRC
some student who had met her gave a brief speech .,SubjectRC
some student who had met mary gave a brief speech .,SubjectRC
some student who had met the woman gave a brief speech .,SubjectRC
some student who had lived with her gave a brief speech .,SubjectRC
some student who had lived with mary gave a brief speech .,SubjectRC
some student who had lived with the woman gave a brief speech .,SubjectRC
some man that had seen her gave a brief speech .,SubjectRC
some man that had seen mary gave a brief speech .,SubjectRC
some man that had seen the woman gave a brief speech .,SubjectRC
some man that had spoken with her gave a brief speech .,SubjectRC
some man that had spoken with mary gave a brief speech .,SubjectRC
some man that had spoken with the woman gave a brief speech .,SubjectRC
some man that had interviewed her gave a brief speech .,SubjectRC
some man that had interviewed mary gave a brief speech .,SubjectRC
some man that had interviewed the woman gave a brief speech .,SubjectRC
