Sentence;Cases
fighting against these laws scared activists .;AffSubj
fighting against these laws scared governments .;AffSubj
fighting against these laws appealed to john .;AffSubj
fighting against these laws appealed to mary .;AffSubj
fighting against these laws appealed to politicians .;AffSubj
fighting against these laws appealed to activists .;AffSubj
fighting against these laws appealed to governments .;AffSubj
fighting against these laws fascinated john .;AffSubj
fighting against these laws fascinated mary .;AffSubj
fighting against these laws fascinated politicians .;AffSubj
fighting against these laws fascinated activists .;AffSubj
fighting against these laws fascinated governments .;AffSubj
fighting against these laws disgusted john .;AffSubj
fighting against these laws disgusted mary .;AffSubj
fighting against these laws disgusted politicians .;AffSubj
fighting against these laws disgusted activists .;AffSubj
fighting against these laws disgusted governments .;AffSubj
